"11xf -- Kuluttajahintaindeksi (2005=100), kuukausitiedot, 2005M01-2023M02",,
,,
Kuukausi,Hyodyke,Pisteluku
2012M09,01141 Maito,122.5
2012M09,01144 Juustot ja rahkat,124.99
2012M09,01151 Voi,116.15
2012M09,011612 Banaanit,86.47
2012M09,011613 Omenat,131.92
2012M10,0111 Viljatuotteet ja leipa,119.67
2012M10,0112 Liha,126.49
2012M10,01141 Maito,123.08
2012M10,01144 Juustot ja rahkat,124.47
2012M10,01151 Voi,115.83
2012M10,011612 Banaanit,83.22
2012M10,011613 Omenat,134.14
2012M11,0111 Viljatuotteet ja leipa,120.32
2012M11,0112 Liha,129.31
2012M11,01141 Maito,123.57
2012M11,01144 Juustot ja rahkat,124.37
2012M11,01151 Voi,114.62
2012M11,011612 Banaanit,75.56
2012M11,011613 Omenat,138.23
2012M12,0111 Viljatuotteet ja leipa,120.49
2012M12,0112 Liha,129.52
2012M12,01141 Maito,123.38
2012M12,01144 Juustot ja rahkat,125
2012M12,01151 Voi,115.69
2012M12,011612 Banaanit,84.26
2012M12,011613 Omenat,143.08
2013M01,0111 Viljatuotteet ja leipa,120.62
2013M01,0112 Liha,129.71
2013M01,01141 Maito,123.21
2013M01,01144 Juustot ja rahkat,125.1
2013M01,01151 Voi,116.28
2013M01,011612 Banaanit,89.98
2013M01,011613 Omenat,143.61
2013M02,0111 Viljatuotteet ja leipa,124.57
2013M02,0112 Liha,133.46
2013M02,01141 Maito,143.7
2013M02,01144 Juustot ja rahkat,126.18
2013M02,01151 Voi,118.97
2013M02,011612 Banaanit,93.03
2013M02,011613 Omenat,148.09
2013M03,0111 Viljatuotteet ja leipa,124.86
2013M03,0112 Liha,134.2
2013M03,01141 Maito,142.69
2013M03,01144 Juustot ja rahkat,126.31
2013M03,01151 Voi,119.94
2013M03,011612 Banaanit,91.68
2013M03,011613 Omenat,145.73
2013M04,0111 Viljatuotteet ja leipa,125.53
2013M04,0112 Liha,133.75
2013M04,01141 Maito,143.61
2013M04,01144 Juustot ja rahkat,126.46
2013M04,01151 Voi,120.49
2013M04,011612 Banaanit,93.74
2013M04,011613 Omenat,151.2
2013M05,0111 Viljatuotteet ja leipa,124.95
2013M05,0112 Liha,133.24
2013M05,01141 Maito,143.84
2013M05,01144 Juustot ja rahkat,126.45
2013M05,01151 Voi,120.28
2013M05,011612 Banaanit,91.97
2013M05,011613 Omenat,153
2013M06,0111 Viljatuotteet ja leipa,124.97
2013M06,0112 Liha,133.11
2013M06,01141 Maito,143.72
2013M06,01144 Juustot ja rahkat,126.24
2013M06,01151 Voi,119.39
2013M06,011612 Banaanit,92.32
2013M06,011613 Omenat,155.7
2013M07,0111 Viljatuotteet ja leipa,124.93
2013M07,0112 Liha,133.25
